seed_keyword,related_keyword,trend_score
Claude,claude for small business,8200
Claude,とほほ の claude code 入門,5800
Claude,claude small business,2550
Claude,claude for small business 日本,2250
Claude,claude for legal,1300
Claude,claude code goal,400
Claude,claude platform on aws,400
Claude,claude code agent view,400
Claude,openmythos,200
Claude,ミュトス,200
Claude,クロード ミュトス,190
Claude,mythos,170
Claude,claude agent sdk,160
Claude,claude mythos,150
React,react testing library,150
Claude,claude courses,120
Claude,claude mythos 読み方,110
Cursor,cursor pricing,100
Cursor,openclaw,100
Claude,claude mythos 何 が すごい,90
Claude,claude mythos とは,80
Claude,claude mythos preview,80
Next.js,next.js 16,80
Cursor,cursor composer,70
Cursor,kiro,70
Vercel,vercel pricing,70
Claude,claude status,60
Claude,claude agent,60
Cursor,openai,60
Cursor,custom cursor,60
Cursor,バイブ コーディング と は,60
Cursor,gemini cli,60
React,tanstack query,60
React,supabase,60
React,react tutorial,60
Vercel,vercel deploy,60
ChatGPT,openai,50
Cursor,cursor editor,50
Cursor,cursor rules,50
Cursor,cursor agent,50
Cursor,cursor dashboard,50
Cursor,google antigravity,50
Cursor,claude ai,50
Next.js,next.js api,50
React,react useref,50
Vercel,railway,50
Vercel,netlify,50
Vercel,claude code,50
Python,python web framework,50
ChatGPT,openai chatgpt,40
ChatGPT,chatgpt app,40
ChatGPT,ちゃ tgpt,40
Cursor,cursor changelog,40
React,react email,40
React,next js react 違い,40
React,react suspense,40
Vercel,vercel free,40
ノーコード,キントーン,40
